"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"303827","occ","","","31019","Pseudocricetodon adroveri","species","94280","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"303829","occ","","","31013","Pseudocricetodon adroveri","species","94280","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"303830","occ","","","31016","Pseudocricetodon simplex","species","94286","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"303831","occ","","","31017","Pseudocricetodon simplex","species","94286","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"303832","occ","","","31017","Pseudocricetodon philippi","species","94290","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"303833","occ","","","31018","Pseudocricetodon simplex","species","94286","Late Oligocene","","28.4","23.03","7917","Chordata","Mammalia","Rodentia","Cricetidae","Pseudocricetodon","Chattian"
"331743","occ","10280","","31223","Parapodemus lugdunensis","species","108922","MN 10","","9.7","8.7","8408","Chordata","Mammalia","Rodentia","Muridae","Parapodemus","Tortonian"
"331744","occ","","","31223","Progonomys cathalai","species","108969","MN 10","","9.7","8.7","8519","Chordata","Mammalia","Rodentia","Muridae","Progonomys","Tortonian"
"331745","occ","10281","","31223","Kowalskia intermedia","species","109267","MN 10","","9.7","8.7","8408","Chordata","Mammalia","Rodentia","Cricetidae","Neocricetodon","Tortonian"
"331747","occ","","","31223","Eliomys truci","species","54294","MN 10","","9.7","8.7","8519","Chordata","Mammalia","Rodentia","Gliridae","Eliomys","Tortonian"
"331750","occ","","","31223","Vasseuromys pannonicus","species","131937","MN 10","","9.7","8.7","8408","Chordata","Mammalia","Rodentia","Gliridae","Vasseuromys","Tortonian"
"331751","occ","","","31223","Myomimus maritsensis","species","91471","MN 10","","9.7","8.7","8408","Chordata","Mammalia","Rodentia","Gliridae","Myomimus","Tortonian"
"331779","occ","19050","","31229","Desmana verestchagini","species","92125","Ruscinian","","5.333","3.2","23416","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Desmana","Zanclean"
"331780","occ","","","31931","Micromys bendai","species","55271","Ruscinian","Pliocene","5.333","2.588","8408","Chordata","Mammalia","Rodentia","Muridae","Micromys","Zanclean"
"331781","occ","","","31931","Occitanomys brailloni","species","94540","Ruscinian","Pliocene","5.333","2.588","8408","Chordata","Mammalia","Rodentia","Muridae","Occitanomys","Zanclean"
"331782","occ","","","31931","Occitanomys (Rhodomys) adroveri","species","108926","Ruscinian","Pliocene","5.333","2.588","8408","Chordata","Mammalia","Rodentia","Muridae","Occitanomys (Rhodomys)","Zanclean"
"332458","occ","","","31039","Microtocricetus molassicus","species","53416","MN 9","","11.1","9.7","8434","Chordata","Mammalia","Rodentia","Cricetidae","Microtocricetus","Tortonian"
"332459","occ","","","31040","Neocometes similis","species","53420","MN 5","MN 6","15.97","12.75","8433","Chordata","Mammalia","Rodentia","NO_FAMILY_SPECIFIED","Neocometes","Langhian"
"332460","occ","","","31041","Neocometes similis","species","53420","MN 4","","16.9","15.97","8433","Chordata","Mammalia","Rodentia","NO_FAMILY_SPECIFIED","Neocometes","Burdigalian"
"332461","occ","","","31040","Plesiosorex germanicus","species","92545","MN 5","MN 6","15.97","12.75","8406","Chordata","Mammalia","NO_ORDER_SPECIFIED","Plesiosoricidae","Plesiosorex","Langhian"
"332463","occ","","","31040","Dinosorex zapfei","species","53433","MN 5","MN 6","15.97","12.75","8440","Chordata","Mammalia","NO_ORDER_SPECIFIED","Heterosoricidae","Dinosorex","Langhian"
"332467","occ","","","31041","Florinia stehlini","species","111512","MN 4","","16.9","15.97","8440","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Florinia","Burdigalian"
"332470","occ","","","31041","Plesiodimylus chantrei","species","53434","MN 4","","16.9","15.97","8441","Chordata","Mammalia","NO_ORDER_SPECIFIED","Dimylidae","Plesiodimylus","Burdigalian"
"332471","occ","","","31041","Chainodus intercedens","species","96567","MN 4","","16.9","15.97","8441","Chordata","Mammalia","NO_ORDER_SPECIFIED","Dimylidae","Chainodus","Burdigalian"
"332472","occ","","","31039","Plesiodimylus chantrei","species","53434","MN 9","","11.1","9.7","8441","Chordata","Mammalia","NO_ORDER_SPECIFIED","Dimylidae","Plesiodimylus","Tortonian"
"332476","occ","","","31041","Glirudinus undosus","species","53440","MN 4","","16.9","15.97","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirudinus","Burdigalian"
"332477","occ","","","31041","Myoglis antecedens","species","53442","MN 4","","16.9","15.97","8378","Chordata","Mammalia","Rodentia","Gliridae","Myoglis","Burdigalian"
"332479","occ","","","31041","Glirulus diremptus","species","53445","MN 4","","16.9","15.97","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Burdigalian"
"332481","occ","","","31040","Glirudinus minutus","species","53439","MN 5","MN 6","15.97","12.75","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirudinus","Langhian"
"332483","occ","","","31040","Microdyromys koenigswaldi","species","53444","MN 5","MN 6","15.97","12.75","8378","Chordata","Mammalia","Rodentia","Gliridae","Microdyromys","Langhian"
"332484","occ","","","31040","Glirulus werenfelsi","species","53446","MN 5","MN 6","15.97","12.75","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Langhian"
"332485","occ","","","31040","Glirulus lissiensis","species","53447","MN 5","MN 6","15.97","12.75","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Langhian"
"332487","occ","","","31039","Glis vallesiensis","species","53437","MN 9","","11.1","9.7","8378","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Tortonian"
"332488","occ","","","31039","Muscardinus hispanicus","species","53441","MN 9","","11.1","9.7","8378","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Tortonian"
"332490","occ","","","31039","Glirulus werenfelsi","species","53446","MN 9","","11.1","9.7","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Tortonian"
"332491","occ","","","31039","Glirulus lissiensis","species","53447","MN 9","","11.1","9.7","8378","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Tortonian"
"332492","occ","","","31039","Bransatoglis astaracensis","species","57010","MN 9","","11.1","9.7","8378","Chordata","Mammalia","Rodentia","Gliridae","Bransatoglis","Tortonian"
"332796","occ","","","31316","Steneofiber depereti","species","64174","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Rodentia","Castoridae","Steneofiber","Langhian"
"332797","occ","","","31316","Hyotherium soemmeringi","species","64176","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Artiodactyla","Suidae","Hyotherium","Langhian"
"332798","occ","","","31316","Dorcatherium naui","species","64179","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium","Langhian"
"332802","occ","","","31316","Anchitherium aurelianense","species","56992","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Perissodactyla","Equidae","Anchitherium","Langhian"
