"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=ASI&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","ASI"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.34"
"Records Found","7890"
"Records Returned","7890"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"150071","occ","","","13293","Hystrix","genus","42010","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150072","occ","","","13293","Rattus rattus","species","104204","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150073","occ","","","13293","Mus musculus","species","104205","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150074","occ","","","13293","Eothenomys","genus","41768","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150076","occ","","","13293","Pongo pygmaeus","species","232338","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150077","occ","","","13293","Macaca","genus","40869","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150078","occ","10760","","13293","Trachypithecus","genus","92697","Middle Pleistocene","Late Pleistocene","0.781","0.0117","10881","Middle Pleistocene"
"150079","occ","","","13293","Hipposideros","genus","40649","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150080","occ","","","13293","Crocidura russula","species","233992","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150151","occ","","","13303","Sastrilophus dehmi","species","104064","Middle Eocene","Late Eocene","48.6","33.9","4421","-"
