"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=EUR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:08 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","EUR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.63"
"Records Found","17723"
"Records Returned","17723"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"331745","occ","10281","","31223","Kowalskia intermedia","species","109267","MN 10","","9.7","8.7","8408","Tortonian"
"331746","occ","","","31223","Byzantinia","genus","41745","MN 10","","9.7","8.7","8519","Tortonian"
"331749","occ","","","31223","Pliopetaurista","genus","41516","MN 10","","9.7","8.7","8408","Tortonian"
"331750","occ","","","31223","Vasseuromys pannonicus","species","131937","MN 10","","9.7","8.7","8408","Tortonian"
"331751","occ","","","31223","Myomimus maritsensis","species","91471","MN 10","","9.7","8.7","8408","Tortonian"
"331752","occ","","","31223","Prolagus","genus","53930","MN 10","","9.7","8.7","8408","Tortonian"
"331777","occ","","","31229","Rhagapodemus","genus","41926","Ruscinian","","5.333","3.2","8519","Zanclean"
"331779","occ","19050","","31229","Desmana verestchagini","species","92125","Ruscinian","","5.333","3.2","23416","Zanclean"
"331780","occ","","","31931","Micromys bendai","species","55271","Ruscinian","Pliocene","5.333","2.588","8408","Zanclean"
"331781","occ","","","31931","Occitanomys brailloni","species","94540","Ruscinian","Pliocene","5.333","2.588","8408","Zanclean"
"331782","occ","","","31931","Occitanomys (Rhodomys) adroveri","species","108926","Ruscinian","Pliocene","5.333","2.588","8408","Zanclean"
"332458","occ","","","31039","Microtocricetus molassicus","species","53416","MN 9","","11.1","9.7","8434","Tortonian"
"332459","occ","","","31040","Neocometes similis","species","53420","MN 5","MN 6","15.97","12.75","8433","Langhian"
"332460","occ","","","31041","Neocometes similis","species","53420","MN 4","","16.9","15.97","8433","Burdigalian"
"332461","occ","","","31040","Plesiosorex germanicus","species","92545","MN 5","MN 6","15.97","12.75","8406","Langhian"
"332466","occ","","","31039","Dinosorex","genus","40465","MN 9","","11.1","9.7","8440","Tortonian"
"332468","occ","","","31041","Heterosorex","genus","46955","MN 4","","16.9","15.97","8440","Burdigalian"
"332471","occ","","","31041","Chainodus intercedens","species","96567","MN 4","","16.9","15.97","8441","Burdigalian"
"332472","occ","","","31039","Plesiodimylus chantrei","species","53434","MN 9","","11.1","9.7","8441","Tortonian"
"332473","occ","","","31039","Plesiodimylus","genus","40526","MN 9","","11.1","9.7","8441","Tortonian"
"332476","occ","","","31041","Glirudinus undosus","species","53440","MN 4","","16.9","15.97","8378","Burdigalian"
"332477","occ","","","31041","Myoglis antecedens","species","53442","MN 4","","16.9","15.97","8378","Burdigalian"
"332479","occ","","","31041","Glirulus diremptus","species","53445","MN 4","","16.9","15.97","8378","Burdigalian"
"332480","occ","","","31040","Myoxus (Glis)","subgenus","41589","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332482","occ","","","31040","Glirudinus","genus","41587","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332483","occ","","","31040","Microdyromys koenigswaldi","species","53444","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332484","occ","","","31040","Glirulus werenfelsi","species","53446","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332485","occ","","","31040","Glirulus lissiensis","species","53447","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332486","occ","","","31040","Bransatoglis","genus","41580","MN 5","MN 6","15.97","12.75","8378","Langhian"
"332487","occ","","","31039","Glis vallesiensis","species","53437","MN 9","","11.1","9.7","8378","Tortonian"
"332488","occ","","","31039","Muscardinus hispanicus","species","53441","MN 9","","11.1","9.7","8378","Tortonian"
"332489","occ","","","31039","Microdyromys","genus","53443","MN 9","","11.1","9.7","8378","Tortonian"
"332490","occ","","","31039","Glirulus werenfelsi","species","53446","MN 9","","11.1","9.7","8378","Tortonian"
"332491","occ","","","31039","Glirulus lissiensis","species","53447","MN 9","","11.1","9.7","8378","Tortonian"
"332492","occ","","","31039","Bransatoglis astaracensis","species","57010","MN 9","","11.1","9.7","8378","Tortonian"
"332796","occ","","","31316","Steneofiber depereti","species","64174","Langhian","","15.97","13.82","8464","Langhian"
"332797","occ","","","31316","Hyotherium soemmeringi","species","64176","Langhian","","15.97","13.82","8464","Langhian"
"332798","occ","","","31316","Dorcatherium naui","species","64179","Langhian","","15.97","13.82","8464","Langhian"
"332799","occ","","","31316","Lagomeryx","genus","42626","Langhian","","15.97","13.82","8464","Langhian"
"332800","occ","","","31316","Procervulus","genus","42628","Langhian","","15.97","13.82","8464","Langhian"
"332802","occ","","","31316","Anchitherium aurelianense","species","56992","Langhian","","15.97","13.82","8464","Langhian"
"332803","occ","","","31316","Aceratherium","genus","43188","Langhian","","15.97","13.82","8464","Langhian"
"332805","occ","","","31316","Brachypotherium brachypus","species","64183","Langhian","","15.97","13.82","8464","Langhian"
"332806","occ","","","31316","Gomphotherium","genus","43247","Langhian","","15.97","13.82","8464","Langhian"
"332807","occ","","","31316","Prodeinotherium bavaricum","species","96590","Langhian","","15.97","13.82","8464","Langhian"
"332828","occ","","","31326","Proscapanus sansaniensis","species","64156","Langhian","","15.97","13.82","8464","Langhian"
"332829","occ","","","31326","Steneofiber depereti","species","64174","Langhian","","15.97","13.82","8464","Langhian"
"332840","occ","","","31326","Lagopsis verus","species","57000","Langhian","","15.97","13.82","8464","Langhian"
"332841","occ","","","31326","Pseudocyon sansaniensis","species","97846","Langhian","","15.97","13.82","8464","Langhian"
"332842","occ","","","31326","Ischyrictis","genus","41117","Langhian","","15.97","13.82","8464","Langhian"
"332844","occ","","","31326","Cainotherium","genus","77399","Langhian","","15.97","13.82","8464","Langhian"
"332845","occ","","","31326","Dorcatherium naui","species","64179","Langhian","","15.97","13.82","8464","Langhian"
"332846","occ","","","31326","Lagomeryx","genus","42626","Langhian","","15.97","13.82","8464","Langhian"
"332847","occ","","","31326","Procervulus","genus","42628","Langhian","","15.97","13.82","8464","Langhian"
"332849","occ","","","31326","Eotragus","genus","42769","Langhian","","15.97","13.82","8464","Langhian"
"332850","occ","","","31326","Anchitherium aurelianense","species","56992","Langhian","","15.97","13.82","8464","Langhian"
"332851","occ","","","31326","Aceratherium","genus","43188","Langhian","","15.97","13.82","8464","Langhian"
"332852","occ","","","31326","Brachypotherium brachypus","species","64183","Langhian","","15.97","13.82","8464","Langhian"
"332853","occ","","","31326","Gomphotherium","genus","43247","Langhian","","15.97","13.82","8464","Langhian"
"336582","occ","","","31583","Dichobune leporina","species","347535","Early Oligocene","","33.9","28.4","8517","Rupelian"
"336584","occ","","","31583","Entelodon","genus","42369","Early Oligocene","","33.9","28.4","11574","Rupelian"
"336585","occ","","","31583","Tapirulus","genus","67472","Early Oligocene","","33.9","28.4","8517","Rupelian"
"336586","occ","","","31583","Diplobune","genus","196726","Early Oligocene","","33.9","28.4","11574","Rupelian"
"336587","occ","","","31583","Paroxacron","genus","63107","Early Oligocene","","33.9","28.4","17174","Rupelian"
"336588","occ","","","31583","Gelocus communis","species","349727","Early Oligocene","","33.9","28.4","11574","Rupelian"
"336589","occ","","","12848","Pseudoloris parvulus","species","67466","Priabonian","","38","33.9","8517","Priabonian"
"336590","occ","","","12848","Leptadapis magnus","species","127246","Priabonian","","38","33.9","11573","Priabonian"
"336592","occ","","","12848","Necrolemur antiquus","species","347334","Priabonian","","38","33.9","11573","Priabonian"
"336593","occ","","","12848","Mouillacitherium elegans","species","67467","Priabonian","","38","33.9","8517","Priabonian"
"336595","occ","","","12848","Leptotheridium lugeoni","species","347303","Priabonian","","38","33.9","8517","Priabonian"
"336596","occ","","","12848","Dichodon","genus","42565","Priabonian","","38","33.9","8517","Priabonian"
"336598","occ","","","12848","Pseudamphimeryx renevieri","species","67495","Priabonian","","38","33.9","8517","Priabonian"
"336601","occ","","","31584","Adapis","genus","40750","Bartonian","","41.3","38","8517","Bartonian"
"336604","occ","","","31584","Hyperdichobune langi","species","347606","Bartonian","","41.3","38","8517","Bartonian"
"336605","occ","","","31584","Hyperdichobune","genus","42329","Bartonian","","41.3","38","8517","Bartonian"
"336612","occ","","","31586","Dichobune leporina","species","347535","Priabonian","","38","33.9","8517","Priabonian"
"336613","occ","","","31586","Acotherulum saturninum","species","347617","Priabonian","","38","33.9","8517","Priabonian"
"336614","occ","","","31586","Diplobune secundaria","species","347773","Priabonian","","38","33.9","8517","Priabonian"
"336615","occ","","","31586","Xiphodon gracile","species","347776","Priabonian","","38","33.9","8517","Priabonian"
"336616","occ","","","31586","Amphimeryx murinus","species","347787","Priabonian","","38","33.9","8517","Priabonian"
"336619","occ","","","31223","Schizogalerix","genus","53933","MN 10","","9.7","8.7","8409","Tortonian"
"336620","occ","","","31223","Desmanella","genus","40403","MN 10","","9.7","8.7","8409","Tortonian"
"336621","occ","","","31223","Amblycoptus","genus","40447","MN 10","","9.7","8.7","8409","Tortonian"
"336665","occ","","","31607","Dichobune leporina","species","347535","Priabonian","","38","33.9","8517","Priabonian"
"336666","occ","","","31607","Acotherulum","genus","42360","Priabonian","","38","33.9","8517","Priabonian"
"336667","occ","","","31607","Haplobunodon","genus","42476","Priabonian","","38","33.9","8517","Priabonian"
"336668","occ","","","31607","Anoplotherium commune","species","347767","Priabonian","","38","33.9","8517","Priabonian"
"336669","occ","","","31607","Xiphodon gracile","species","347776","Priabonian","","38","33.9","8517","Priabonian"
"336670","occ","","","31608","Choeropotamus parisiensis","species","347710","Priabonian","","38","33.9","8517","Priabonian"
"336671","occ","","","31608","Dichodon","genus","42565","Priabonian","","38","33.9","8517","Priabonian"
