"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleocene,Holocene&cc=SOA&show=timebins,acconly"
"Access Time","Sun 2020-04-12 23:31:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","1.7"
"Records Found","5201"
"Records Returned","5201"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"212870","occ","","","21686","Conepatus semistriatus","species","232921","Holocene","","0.0117","0","4785","Holocene"
"212871","occ","","","21686","Eira barbara","species","104166","Holocene","","0.0117","0","4785","Holocene"
"212872","occ","","","21686","Galictis vittata","species","232911","Holocene","","0.0117","0","4785","Holocene"
"212873","occ","","","21686","Procyon cancrivorus","species","232925","Holocene","","0.0117","0","4785","Holocene"
"212882","occ","","","21686","Artibeus jamaicensis","species","160956","Holocene","","0.0117","0","4785","Holocene"
"212884","occ","","","21686","Desmodus rotundus","species","235347","Holocene","","0.0117","0","4785","Holocene"
"212894","occ","","","21686","Trachops cirrhosus","species","117399","Holocene","","0.0117","0","4785","Holocene"
"212900","occ","","","21686","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4785","Holocene"
"212901","occ","","","21686","Cuniculus paca","species","233814","Holocene","","0.0117","0","4785","Holocene"
"212903","occ","","","21686","Noctilio leporinus","species","104144","Holocene","","0.0117","0","4785","Holocene"
"212904","occ","","","21686","Noctilio albiventris","species","269558","Holocene","","0.0117","0","4785","Holocene"
"212915","occ","","","21686","Eumops glaucinus","species","45958","Holocene","","0.0117","0","4785","Holocene"
"212917","occ","","","21686","Cebus nigrivittatus","species","236583","Holocene","","0.0117","0","4785","Holocene"
"212918","occ","","","21686","Cerdocyon thous","species","232945","Holocene","","0.0117","0","4785","Holocene"
"212922","occ","","","21686","Coendou prehensilis","species","104190","Holocene","","0.0117","0","4785","Holocene"
"212925","occ","","","21686","Hydrochoerus hydrochaeris","species","128739","Holocene","","0.0117","0","4785","Holocene"
"212926","occ","","","21686","Odocoileus virginianus","species","45528","Holocene","","0.0117","0","4785","Holocene"
"212927","occ","","","21686","Lasiurus borealis","species","52636","Holocene","","0.0117","0","4785","Holocene"
"212928","occ","","","21687","Choloepus didactylus","species","104149","Holocene","","0.0117","0","4787","Holocene"
"212929","occ","","","21687","Dasyprocta leporina","species","104198","Holocene","","0.0117","0","4787","Holocene"
"212930","occ","","","21687","Myoprocta acouchy","species","234759","Holocene","","0.0117","0","4787","Holocene"
"212931","occ","","","21687","Pecari tajacu","species","51899","Holocene","","0.0117","0","4787","Holocene"
"212932","occ","","","21687","Speothos venaticus","species","232954","Holocene","","0.0117","0","4787","Holocene"
"212933","occ","","","21687","Eira barbara","species","104166","Holocene","","0.0117","0","4787","Holocene"
"212934","occ","","","21687","Lontra longicaudis","species","137412","Holocene","","0.0117","0","4787","Holocene"
"212935","occ","","","21687","Nasua nasua","species","231411","Holocene","","0.0117","0","4787","Holocene"
"212936","occ","","","21687","Potos flavus","species","232927","Holocene","","0.0117","0","4787","Holocene"
"212937","occ","","","21687","Caluromys lanatus","species","284727","Holocene","","0.0117","0","4787","Holocene"
"212938","occ","","","21687","Caluromys philander","species","104185","Holocene","","0.0117","0","4787","Holocene"
"212939","occ","","","21687","Didelphis marsupialis","species","45701","Holocene","","0.0117","0","4787","Holocene"
"212941","occ","","","21687","Marmosa murina","species","104187","Holocene","","0.0117","0","4787","Holocene"
"212942","occ","","","21687","Monodelphis brevicaudata","species","284763","Holocene","","0.0117","0","4787","Holocene"
"212944","occ","","","21687","Metachirus nudicaudatus","species","238611","Holocene","","0.0117","0","4787","Holocene"
"212945","occ","","","21687","Tapirus terrestris","species","83609","Holocene","","0.0117","0","4787","Holocene"
"212946","occ","","","21687","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4787","Holocene"
"212947","occ","","","21687","Ateles paniscus","species","104123","Holocene","","0.0117","0","4787","Holocene"
"212948","occ","","","21687","Sapajus apella","species","104132","Holocene","","0.0117","0","4787","Holocene"
"212949","occ","","","21687","Chiropotes satanas","species","385412","Holocene","","0.0117","0","4787","Holocene"
"212950","occ","","","21687","Pithecia pithecia","species","384930","Holocene","","0.0117","0","4787","Holocene"
"212951","occ","","","21687","Saguinus midas","species","104130","Holocene","","0.0117","0","4787","Holocene"
"212955","occ","","","21687","Cuniculus paca","species","233814","Holocene","","0.0117","0","4787","Holocene"
"212957","occ","","","21687","Dasypus (Dasypus) novemcinctus","species","45560","Holocene","","0.0117","0","4787","Holocene"
"212958","occ","","","21687","Tamandua tetradactyla","species","104151","Holocene","","0.0117","0","4787","Holocene"
"212959","occ","","","21687","Myrmecophaga tridactyla","species","48923","Holocene","","0.0117","0","4787","Holocene"
"212961","occ","","","21687","Coendou prehensilis","species","104190","Holocene","","0.0117","0","4787","Holocene"
"212962","occ","","","21687","Philander opossum","species","104186","Holocene","","0.0117","0","4787","Holocene"
"212963","occ","","","21687","Bradypus tridactylus","species","104148","Holocene","","0.0117","0","4787","Holocene"
"212965","occ","","","21687","Priodontes maximus","species","233756","Holocene","","0.0117","0","4787","Holocene"
"212966","occ","","","21687","Dasypus (Hyperoambon) kappleri","species","161181","Holocene","","0.0117","0","4787","Holocene"
"212972","occ","","","21687","Rhipidomys mastacalis","species","380030","Holocene","","0.0117","0","4787","Holocene"
"212973","occ","","","21687","Tayassu pecari","species","51898","Holocene","","0.0117","0","4787","Holocene"
"212974","occ","","","21687","Mazama americana","species","238325","Holocene","","0.0117","0","4787","Holocene"
"212975","occ","","","21687","Cervus gouazoubira","species","149409","Holocene","","0.0117","0","4787","Holocene"
"212976","occ","","","21687","Puma concolor","species","46513","Holocene","","0.0117","0","4787","Holocene"
"212977","occ","","","21687","Panthera onca","species","46524","Holocene","","0.0117","0","4787","Holocene"
"213037","occ","","","21689","Pecari tajacu","species","51899","Holocene","","0.0117","0","4790","Holocene"
"213038","occ","","","21689","Leopardus pardalis","species","46525","Holocene","","0.0117","0","4790","Holocene"
"213039","occ","","","21689","Puma yagouaroundi","species","46533","Holocene","","0.0117","0","4790","Holocene"
"213040","occ","","","21689","Eira barbara","species","104166","Holocene","","0.0117","0","4790","Holocene"
"213041","occ","","","21689","Galictis vittata","species","232911","Holocene","","0.0117","0","4790","Holocene"
"213042","occ","","","21689","Lontra longicaudis","species","137412","Holocene","","0.0117","0","4790","Holocene"
"213043","occ","","","21689","Pteronura brasiliensis","species","231845","Holocene","","0.0117","0","4790","Holocene"
"213044","occ","","","21689","Bassaricyon gabbii","species","157498","Holocene","","0.0117","0","4790","Holocene"
"213045","occ","","","21689","Nasua nasua","species","231411","Holocene","","0.0117","0","4790","Holocene"
"213046","occ","","","21689","Potos flavus","species","232927","Holocene","","0.0117","0","4790","Holocene"
"213047","occ","","","21689","Sylvilagus brasiliensis","species","104195","Holocene","","0.0117","0","4790","Holocene"
"213048","occ","","","21689","Caluromys lanatus","species","284727","Holocene","","0.0117","0","4790","Holocene"
"213049","occ","","","21689","Didelphis marsupialis","species","45701","Holocene","","0.0117","0","4790","Holocene"
"213050","occ","","","21689","Philander opposum","species","284762","Holocene","","0.0117","0","4790","Holocene"
"213051","occ","","","21689","Metachirus nudicaudatus","species","238611","Holocene","","0.0117","0","4790","Holocene"
"213052","occ","","","21689","Tapirus terrestris","species","83609","Holocene","","0.0117","0","4790","Holocene"
"213053","occ","","","21689","Choloepus hoffmanni","species","235353","Holocene","","0.0117","0","4790","Holocene"
"213054","occ","","","21689","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4790","Holocene"
"213055","occ","","","21689","Aotus trivirgatus","species","232710","Holocene","","0.0117","0","4790","Holocene"
"213056","occ","","","21689","Ateles paniscus","species","104123","Holocene","","0.0117","0","4790","Holocene"
"213057","occ","","","21689","Plecturocebus moloch","species","384487","Holocene","","0.0117","0","4790","Holocene"
"213058","occ","","","21689","Cebus albifrons","species","232538","Holocene","","0.0117","0","4790","Holocene"
"213059","occ","","","21689","Sapajus apella","species","104132","Holocene","","0.0117","0","4790","Holocene"
"213060","occ","","","21689","Lagothrix lagotricha","species","232529","Holocene","","0.0117","0","4790","Holocene"
"213061","occ","","","21689","Leontocebus fuscicollis","species","231757","Holocene","","0.0117","0","4790","Holocene"
"213062","occ","","","21689","Saguinus imperator","species","385837","Holocene","","0.0117","0","4790","Holocene"
"213063","occ","","","21689","Saimiri sciureus","species","104135","Holocene","","0.0117","0","4790","Holocene"
"213064","occ","","","21689","Callimico goeldii","species","233441","Holocene","","0.0117","0","4790","Holocene"
"213072","occ","","","21689","Cuniculus paca","species","233814","Holocene","","0.0117","0","4790","Holocene"
"213073","occ","","","21689","Myoprocta pratti","species","234763","Holocene","","0.0117","0","4790","Holocene"
"213074","occ","","","21689","Nectomys squamipes","species","236804","Holocene","","0.0117","0","4790","Holocene"
"213078","occ","","","21689","Dasypus (Dasypus) novemcinctus","species","45560","Holocene","","0.0117","0","4790","Holocene"
"213079","occ","","","21689","Tamandua tetradactyla","species","104151","Holocene","","0.0117","0","4790","Holocene"
"213080","occ","","","21689","Myrmecophaga tridactyla","species","48923","Holocene","","0.0117","0","4790","Holocene"
"213081","occ","","","21689","Coendou prehensilis","species","104190","Holocene","","0.0117","0","4790","Holocene"
"213082","occ","","","21689","Hydrochoerus hydrochaeris","species","128739","Holocene","","0.0117","0","4790","Holocene"
"213084","occ","","","21689","Priodontes maximus","species","233756","Holocene","","0.0117","0","4790","Holocene"
"213087","occ","","","21689","Tayassu pecari","species","51898","Holocene","","0.0117","0","4790","Holocene"
"213088","occ","","","21689","Mazama americana","species","238325","Holocene","","0.0117","0","4790","Holocene"
"213089","occ","","","21689","Cervus gouazoubira","species","149409","Holocene","","0.0117","0","4790","Holocene"
"213092","occ","","","21689","Caluromysiops irrupta","species","284728","Holocene","","0.0117","0","4790","Holocene"
"213099","occ","","","21689","Cebuella pygmaea","species","236608","Holocene","","0.0117","0","4790","Holocene"
"213101","occ","","","21689","Puma concolor","species","46513","Holocene","","0.0117","0","4790","Holocene"
"213102","occ","","","21689","Panthera onca","species","46524","Holocene","","0.0117","0","4790","Holocene"
"219906","occ","28233","","22633","Notiomastodon platensis","species","117324","Pleistocene","","2.588","0.0117","45412","-"
"229395","occ","","","21686","Didelphis marsupialis","species","45701","Holocene","","0.0117","0","4785","Holocene"
"229396","occ","","","21686","Marmosa robinsoni","species","284738","Holocene","","0.0117","0","4785","Holocene"
"229397","occ","","","21686","Dasypus (Dasypus) novemcinctus","species","45560","Holocene","","0.0117","0","4785","Holocene"
"229398","occ","","","21686","Tamandua tetradactyla","species","104151","Holocene","","0.0117","0","4785","Holocene"
"229399","occ","","","21686","Myrmecophaga tridactyla","species","48923","Holocene","","0.0117","0","4785","Holocene"
"229400","occ","","","21686","Puma concolor","species","46513","Holocene","","0.0117","0","4785","Holocene"
"230134","occ","","","23371","Eomorphippus obscurus","species","58196","Mustersan","","48","42","6702","Lutetian"
"292995","occ","","","27906","Groeberia pattersoni","species","331903","Middle Eocene","","48.6","37.2","7651","Lutetian"
"295233","occ","","","27905","Typotherium cristatum","species","240035","Ensenadan","","1.2","0.781","7716","Calabrian"
"295234","occ","","","28219","Leontinia gaudryi","species","53688","Deseadan","Late Oligocene","29","23.03","7717","Chattian"
"297580","occ","","","12972","Neoglyptatelus originalis","species","279974","Miocene","","23.03","5.333","6139","-"
"297581","occ","","","12972","Nanoastegotherium prostatum","species","279973","Miocene","","23.03","5.333","6139","-"
"297582","occ","","","12975","Anadasypus hondanus","species","279971","Miocene","","23.03","5.333","6139","-"
"297608","occ","","","23371","Propyrotherium saxeum","species","314667","Mustersan","","48","42","6702","Lutetian"
"396046","occ","10571","","38071","Hapalops angustipalatus","species","244625","Laventan","","13.8","11.8","10290","Serravallian"
"399907","occ","33531","","38072","Chilestylops davidsoni","species","356402","Early Oligocene","","33.9","28.4","62630","Rupelian"
"399908","occ","32150","","38072","Klohnia charrieri","species","337116","Early Oligocene","","33.9","28.4","44861","Rupelian"
"399910","occ","33534","","38072","Parutaetus chilensis","species","335590","Early Oligocene","","33.9","28.4","62632","Rupelian"
"399911","occ","10580","","38072","Bryanpattersonia sulcidens","species","57059","Early Oligocene","","33.9","28.4","10308","Rupelian"
"399912","occ","10630","","38072","Pseudhyrax eutrachytheroides","species","57061","Early Oligocene","","33.9","28.4","10497","Rupelian"
