"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=AFR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:09:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","AFR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.39"
"Records Found","10039"
"Records Returned","10039"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"212057","occ","","","21300","Hylochoerus euilus","species","374991","Gelasian","","2.588","1.806","4454","Gelasian"
"212058","occ","","","21300","Metridiochoerus compactus","species","375011","Gelasian","","2.588","1.806","4454","Gelasian"
"212062","occ","","","21301","Equus","genus","42996","Gelasian","","2.588","1.806","4454","Gelasian"
"212063","occ","","","21303","Pelorovis","genus","42829","Gelasian","","2.588","1.806","4454","Gelasian"
"212064","occ","","","21305","Equus","genus","42996","Gelasian","","2.588","1.806","4454","Gelasian"
"212065","occ","","","21305","Gazella","genus","42774","Gelasian","","2.588","1.806","4454","Gelasian"
"212066","occ","","","21305","Pelorovis","genus","42829","Gelasian","","2.588","1.806","4454","Gelasian"
"212123","occ","","","21332","Giraffa","genus","42695","Messinian","Piacenzian","7.246","2.588","4648","-"
"212124","occ","","","21332","Miotragocerus","genus","42801","Messinian","Piacenzian","7.246","2.588","4648","-"
"212125","occ","","","21332","Nyanzachoerus","genus","42403","Messinian","Piacenzian","7.246","2.588","4648","-"
"212126","occ","","","21332","Primelephas korotorensis","species","227257","Messinian","Piacenzian","7.246","2.588","4648","-"
"212127","occ","","","21332","Stegotetrabelodon orbus","species","159434","Messinian","Piacenzian","7.246","2.588","4648","-"
