"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=lump_genus&idqual=genus_certain&interval=Paleocene,Holocene&cc=SOA&show=acconly"
"Access Time","Sat 2020-04-11 01:09:45 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","lump_genus"
"","idqual","genus_certain"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.02"
"Records Found","6462"
"Records Returned","6462"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"213040","occ","","","21689","Eira","genus","159113","Holocene","","0.0117","0","4790"
"213041","occ","","","21689","Galictis","genus","41111","Holocene","","0.0117","0","4790"
"213042","occ","","","21689","Lontra","genus","41121","Holocene","","0.0117","0","4790"
"213043","occ","","","21689","Pteronura","genus","104745","Holocene","","0.0117","0","4790"
"213044","occ","","","21689","Bassaricyon","genus","157497","Holocene","","0.0117","0","4790"
"213045","occ","","","21689","Nasua","genus","41257","Holocene","","0.0117","0","4790"
"213046","occ","","","21689","Potos","genus","103568","Holocene","","0.0117","0","4790"
"213047","occ","","","21689","Sylvilagus","genus","42193","Holocene","","0.0117","0","4790"
"213048","occ","","","21689","Caluromys","genus","39952","Holocene","","0.0117","0","4790"
"213049","occ","","","21689","Didelphis","genus","39959","Holocene","","0.0117","0","4790"
"213050","occ","","","21689","Philander","genus","39984","Holocene","","0.0117","0","4790"
"213051","occ","","","21689","Metachirus","genus","159114","Holocene","","0.0117","0","4790"
"213052","occ","","","21689","Tapirus","genus","43137","Holocene","","0.0117","0","4790"
"213053","occ","","","21689","Choloepus","genus","83046","Holocene","","0.0117","0","4790"
"213054","occ","","","21689","Alouatta","genus","92602","Holocene","","0.0117","0","4790"
"213055","occ","","","21689","Aotus","genus","92614","Holocene","","0.0117","0","4790"
"213056","occ","","","21689","Ateles","genus","92603","Holocene","","0.0117","0","4790"
"213057","occ","","","21689","Plecturocebus","genus","390279","Holocene","","0.0117","0","4790"
"213058","occ","","","21689","Cebus","genus","92615","Holocene","","0.0117","0","4790"
"213059","occ","","","21689","Sapajus","genus","233907","Holocene","","0.0117","0","4790"
"213060","occ","","","21689","Lagothrix","genus","92605","Holocene","","0.0117","0","4790"
"213061","occ","","","21689","Leontocebus","genus","235370","Holocene","","0.0117","0","4790"
"213062","occ","","","21689","Saguinus","genus","92613","Holocene","","0.0117","0","4790"
"213063","occ","","","21689","Saimiri","genus","92616","Holocene","","0.0117","0","4790"
"213064","occ","","","21689","Callimico","genus","92610","Holocene","","0.0117","0","4790"
"213065","occ","","","21689","Mesomys","genus","159115","Holocene","","0.0117","0","4790"
"213066","occ","","","21689","Dasyprocta","genus","105149","Holocene","","0.0117","0","4790"
"213067","occ","","","21689","Dactylomys","genus","159121","Holocene","","0.0117","0","4790"
"213068","occ","","","21689","Proechimys","genus","159117","Holocene","","0.0117","0","4790"
"213069","occ","","","21689","Oecomys","genus","104875","Holocene","","0.0117","0","4790"
"213070","occ","","","21689","Oligoryzomys","genus","159122","Holocene","","0.0117","0","4790"
"213071","occ","","","21689","Sciurus","genus","41525","Holocene","","0.0117","0","4790"
"213072","occ","","","21689","Cuniculus","genus","233805","Holocene","","0.0117","0","4790"
"213073","occ","","","21689","Myoprocta","genus","159111","Holocene","","0.0117","0","4790"
"213074","occ","","","21689","Nectomys","genus","97133","Holocene","","0.0117","0","4790"
"213076","occ","","","21689","Oryzomys","genus","41828","Holocene","","0.0117","0","4790"
"213078","occ","","","21689","Dasypus","genus","43535","Holocene","","0.0117","0","4790"
"213079","occ","","","21689","Tamandua","genus","83035","Holocene","","0.0117","0","4790"
"213080","occ","","","21689","Myrmecophaga","genus","43654","Holocene","","0.0117","0","4790"
"213081","occ","","","21689","Coendou","genus","42136","Holocene","","0.0117","0","4790"
"213082","occ","","","21689","Hydrochoerus","genus","42128","Holocene","","0.0117","0","4790"
