"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=ASI&show=class"
"Access Time","Fri 2021-07-02 05:12:54 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","ASI"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class"
"Elapsed Time","1.87"
"Records Found","5284"
"Records Returned","5284"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"150888","occ","","","13453","Elephas maximus","species","104147","","Elephas maximus","species","104147","Early Pleistocene","","2.588","0.781","6075","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"150891","occ","","","13456","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077","Chordata","Mammalia","Carnivora","Felidae","Panthera"
"150892","occ","11214","","13456","Crocuta cf. sivalensis","species","376866","","Crocuta sivalensis","species","376866","Late Pleistocene","Holocene","0.126","0","11349","Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta"
"150895","occ","","","13456","Bubalus palaeindicus","species","162370","","Bubalus palaeindicus","species","162370","Late Pleistocene","Holocene","0.126","0","6077","Chordata","Mammalia","Artiodactyla","Bovidae","Bubalus"
"150908","occ","","","13461","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150909","occ","","","13462","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150910","occ","","","13464","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150911","occ","","","13465","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150912","occ","","","13463","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150913","occ","","","13466","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150914","occ","","","13467","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"150929","occ","","","13472","Didermocerus cf. sumatrensis","species","237892","recombined as","Dicerorhinus sumatrensis","species","115833","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Dicerorhinus"
"150932","occ","","","13472","Caementodon oettingenae","species","97732","recombined as","Caementodon (Caementodon) oettingenae","species","97732","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Caementodon (Caementodon)"
"150934","occ","","","13472","Chilotherium intermedium","species","433297","","Chilotherium intermedium","species","433297","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Chilotherium"
"150935","occ","","","13472","Aprotodon fatehjangense","species","432667","","Aprotodon fatehjangense","species","432666","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Aprotodon"
"150945","occ","","","13472","Dorcatherium majus","species","352945","","Dorcatherium majus","species","352945","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"150946","occ","","","13472","Dorcatherium minus","species","158607","","Dorcatherium minus","species","158607","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
